GEOID,total_pop,median_rent,median_income,median_age,educational_attainment_pop25,bachelor_degree,master_degree,professional_degree,doctoral_degree,white,african_american,tenure_owner,with_children,boardings,alightings
170313018023,1560.0,800.0,36250.0,28.7,869.0,87.0,8.0,0.0,0.0,850.0,0.0,141.0,386.0,165.0,54.0
170313018022,1178.0,796.0,29643.0,25.4,599.0,25.0,0.0,0.0,1.0,677.0,33.0,64.0,334.0,10.0,71.0
170310714002,2018.0,1628.0,159205.0,38.8,1798.0,556.0,496.0,149.0,82.0,1666.0,208.0,568.0,101.0,160.0,169.0
170310714004,739.0,1695.0,238421.0,35.1,597.0,192.0,201.0,150.0,19.0,562.0,0.0,295.0,117.0,255.0,153.0
170310702002,1187.0,1431.0,181736.0,30.8,819.0,315.0,103.0,117.0,33.0,1116.0,49.0,242.0,214.0,92.0,137.0
170310718001,1998.0,1522.0,183875.0,34.9,1407.0,510.0,319.0,145.0,78.0,1400.0,312.0,499.0,442.0,34.0,52.0
170310801005,1628.0,1739.0,250001.0,41.4,1289.0,645.0,189.0,160.0,102.0,1240.0,48.0,461.0,238.0,14.0,90.0
170310715005,582.0,1925.0,233462.0,40.3,553.0,335.0,145.0,25.0,15.0,507.0,0.0,288.0,29.0,255.0,117.0
170310803004,931.0,1944.0,219571.0,33.4,918.0,396.0,180.0,128.0,17.0,901.0,0.0,426.0,0.0,122.0,115.0
170311003002,1194.0,931.0,91914.0,54.4,1009.0,219.0,195.0,56.0,47.0,1083.0,7.0,265.0,169.0,4.0,6.0
170317608033,1186.0,1097.0,80481.0,48.9,1123.0,196.0,89.0,15.0,0.0,937.0,36.0,345.0,38.0,12.0,12.0
170311105014,439.0,1159.0,89875.0,50.6,412.0,77.0,77.0,0.0,21.0,378.0,1.0,61.0,0.0,70.0,22.0
170311403011,1029.0,1268.0,60069.0,38.3,652.0,136.0,0.0,0.0,0.0,576.0,18.0,157.0,248.0,76.0,173.0
170310209021,2763.0,984.0,41641.0,38.7,2141.0,243.0,94.0,43.0,10.0,1379.0,539.0,516.0,356.0,166.0,37.0
170313406001,981.0,296.0,16114.0,26.9,504.0,17.0,9.0,8.0,5.0,10.0,957.0,0.0,301.0,85.0,100.0
170313514001,1841.0,532.0,16622.0,28.1,1009.0,176.0,62.0,15.0,19.0,69.0,1613.0,96.0,487.0,52.0,54.0
170318221011,1209.0,1145.3387096774193,73092.0,38.0,802.0,126.0,19.0,0.0,9.0,963.0,37.0,378.0,217.0,9.0,244.0
170318219003,973.0,1145.3387096774193,81250.0,42.9,618.0,133.0,73.0,36.0,30.0,901.0,60.0,357.0,263.0,12.0,2.0
170318429001,521.0,1145.3387096774193,144922.0,34.8,427.0,131.0,24.0,45.0,5.0,111.0,102.0,135.0,68.0,61.0,38.0
170318412002,1566.0,1056.0,43594.0,29.7,913.0,205.0,122.0,21.0,0.0,752.0,46.0,78.0,557.0,66.0,66.0
170318214022,1393.0,995.0,77273.0,47.0,1038.0,96.0,24.0,0.0,15.0,7.0,1386.0,374.0,219.0,0.0,0.0
170318217005,798.0,1120.0,85208.08522167488,26.4,448.0,134.0,17.0,26.0,0.0,447.0,351.0,132.0,190.0,59.0,16.0
170318265001,1169.0,987.0,44464.0,38.7,740.0,134.0,64.0,0.0,0.0,94.0,958.0,255.0,273.0,0.0,0.0
170318209021,921.0,1145.3387096774193,95893.0,39.2,590.0,63.0,54.0,12.0,0.0,868.0,0.0,307.0,243.0,15.0,25.0
170318209022,1766.0,1360.0,91087.0,31.2,1047.0,173.0,65.0,18.0,0.0,1207.0,239.0,367.0,399.0,0.0,0.0
170318219001,1155.0,1601.0,81042.0,33.8,747.0,91.0,42.0,0.0,0.0,681.0,263.0,266.0,123.0,87.0,96.0
170318219002,1056.0,2066.0,102130.0,50.1,842.0,190.0,37.0,0.0,9.0,570.0,412.0,287.0,131.0,0.0,0.0
170310632006,1435.0,1343.0,85208.08522167488,31.7,1260.0,405.0,332.0,97.0,20.0,1354.0,29.0,190.0,41.0,96.0,94.0
170317302022,1359.0,1177.0,65526.0,35.8,841.0,167.0,74.0,33.0,0.0,20.0,1325.0,294.0,174.0,36.0,66.0
170317306003,1041.0,939.0,43992.0,51.4,844.0,139.0,254.0,0.0,0.0,0.0,1041.0,349.0,136.0,27.0,57.0
170311605021,1037.0,1016.0,59643.0,35.5,695.0,132.0,26.0,8.0,8.0,582.0,0.0,149.0,246.0,38.0,42.0
170314402014,1433.0,897.0,85208.08522167488,31.6,989.0,141.0,39.0,0.0,0.0,130.0,1278.0,77.0,353.0,69.0,78.0
170310802023,1514.0,1429.0,198750.0,32.6,1292.0,585.0,450.0,117.0,94.0,1373.0,55.0,503.0,35.0,47.0,93.0
170310301011,1067.0,956.0,44500.0,30.2,786.0,132.0,26.0,0.0,0.0,688.0,314.0,13.0,198.0,53.0,114.0
170318214021,822.0,804.0,61676.0,54.7,774.0,70.0,37.0,16.0,0.0,82.0,726.0,268.0,14.0,3.0,45.0
170318214011,777.0,838.0,85208.08522167488,41.4,571.0,108.0,24.0,52.0,0.0,25.0,594.0,104.0,99.0,0.0,0.0
170318214012,736.0,1145.3387096774193,106369.0,37.5,476.0,19.0,74.0,0.0,0.0,13.0,713.0,146.0,96.0,0.0,0.0
170318235001,1172.0,971.0,51913.0,39.8,834.0,154.0,80.0,0.0,0.0,930.0,121.0,280.0,182.0,2.0,6.0
170312909001,815.0,391.0,85208.08522167488,27.3,512.0,55.0,0.0,0.0,0.0,0.0,815.0,21.0,201.0,124.0,174.0
170318371002,866.0,1103.0,31653.0,42.1,636.0,106.0,24.0,48.0,5.0,147.0,681.0,94.0,97.0,59.0,55.0
170318331002,1310.0,1145.3387096774193,163417.0,30.6,876.0,346.0,217.0,49.0,27.0,791.0,399.0,364.0,262.0,31.0,25.0
170318415002,1299.0,1133.0,33462.0,26.4,672.0,66.0,33.0,30.0,12.0,76.0,1201.0,122.0,356.0,48.0,78.0
170316405001,1944.0,1113.0,86953.0,48.7,1591.0,272.0,79.0,0.0,16.0,1685.0,21.0,640.0,181.0,18.0,10.0
170318219005,1127.0,1145.3387096774193,110139.0,39.5,726.0,156.0,204.0,16.0,1.0,1102.0,0.0,373.0,298.0,0.0,7.0
170316609003,1790.0,1124.0,34096.0,34.8,1058.0,27.0,11.0,0.0,0.0,127.0,1426.0,202.0,397.0,42.0,59.0
170315201001,2001.0,862.0,53427.0,35.8,1253.0,112.0,20.0,13.0,10.0,1571.0,123.0,306.0,400.0,25.0,14.0
170315203004,1295.0,1145.3387096774193,54406.0,27.2,654.0,95.0,0.0,0.0,0.0,1011.0,57.0,349.0,306.0,18.0,13.0
170315205002,2834.0,1247.0,71118.0,35.1,1738.0,170.0,53.0,9.0,0.0,2398.0,87.0,677.0,566.0,2.0,4.0
170315301002,1412.0,741.0,56071.0,31.4,839.0,72.0,0.0,6.0,0.0,572.0,758.0,218.0,199.0,92.0,87.0
170317104003,721.0,859.0,50924.0,50.6,589.0,77.0,0.0,0.0,0.0,0.0,721.0,162.0,41.0,81.0,200.0
170318305003,1212.0,1145.3387096774193,44214.0,30.9,847.0,47.0,0.0,0.0,0.0,1101.0,0.0,268.0,182.0,10.0,31.0
170318402001,2419.0,1030.0,77083.0,38.9,1780.0,331.0,107.0,23.0,23.0,728.0,51.0,530.0,431.0,154.0,165.0
170311407011,1459.0,1173.0,83000.0,36.3,1088.0,300.0,123.0,48.0,11.0,664.0,87.0,185.0,269.0,390.0,429.0
170311606013,1589.0,1223.0,106481.0,35.3,1039.0,427.0,125.0,25.0,16.0,1264.0,63.0,237.0,409.0,71.0,55.0
170311502001,1226.0,943.0,146029.0,38.7,841.0,121.0,241.0,0.0,16.0,1051.0,0.0,387.0,236.0,57.0,39.0
170317709021,1376.0,1133.0,84231.0,51.0,1166.0,184.0,110.0,23.0,0.0,1167.0,2.0,514.0,158.0,16.0,19.0
170317709022,1933.0,916.0,64938.0,40.3,1379.0,247.0,82.0,7.0,0.0,1828.0,7.0,479.0,379.0,6.0,4.0
170312416001,1433.0,1745.0,138900.0,30.5,1202.0,598.0,194.0,73.0,20.0,1235.0,14.0,229.0,123.0,74.0,74.0
170312416002,2047.0,1707.0,93952.0,29.8,1761.0,927.0,310.0,82.0,0.0,1620.0,82.0,254.0,38.0,312.0,276.0
170314401012,1135.0,866.0,20198.0,29.5,588.0,41.0,0.0,0.0,0.0,0.0,1135.0,35.0,268.0,0.0,0.0
170317709013,623.0,1145.3387096774193,123571.0,53.5,492.0,94.0,32.0,0.0,0.0,583.0,0.0,210.0,69.0,45.0,34.0
170317709014,2318.0,972.0,87768.0,44.3,1825.0,283.0,75.0,46.0,9.0,1967.0,39.0,758.0,366.0,13.0,17.0
170317709011,1106.0,1650.0,98281.0,44.4,844.0,114.0,61.0,43.0,0.0,1035.0,0.0,434.0,204.0,11.0,14.0
170317709012,901.0,1145.3387096774193,88194.0,44.0,638.0,107.0,60.0,20.0,0.0,838.0,0.0,303.0,131.0,11.0,19.0
